type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,6,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,5,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,4,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,1,False
TEMPORARY_CLOSING,start,2021-05-30T21:24:31.085Z,0,1,0,0,2,1,False
SCHEDULE,end,2021-05-30T21:59:00.000Z,0,1,0,0,1,1,False
SCHEDULE,end,2021-05-30T21:59:00.000Z,0,1,0,0,0,1,False
TEMPORARY_CLOSING,end,2021-05-30T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-05-30T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-05-31T04:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-05-31T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-05-31T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-05-31T10:36:35.593Z,0,0,0,1,2,1,True
TEMPORARY_CLOSING,start,2021-05-31T19:01:42.616Z,0,1,0,1,2,1,False
TEMPORARY_CLOSING,end,2021-05-31T19:01:49.395Z,0,0,0,1,2,1,True
CHECK_IN,start,2021-05-31T19:01:49.399Z,0,0,0,1,2,2,True
TEMPORARY_CLOSING,start,2021-05-31T20:33:24.425Z,0,1,0,1,2,2,False
TEMPORARY_CLOSING,end,2021-05-31T20:33:47.297Z,0,0,0,1,2,2,True
CHECK_IN,start,2021-05-31T20:33:47.303Z,0,0,0,1,2,3,True
CITY_WORKING,end,2021-05-31T21:00:00.000Z,0,0,0,0,2,3,False
CHECK_IN,start,2021-05-31T21:02:17.572Z,0,0,0,0,2,4,False
TEMPORARY_CLOSING,start,2021-05-31T21:05:58.210Z,0,1,0,0,2,4,False
TEMPORARY_CLOSING,end,2021-05-31T21:07:47.493Z,0,0,0,0,2,4,False
CHECK_IN,start,2021-05-31T21:07:47.497Z,0,0,0,0,2,5,False
CHECK_IN,end,2021-05-31T21:09:00.000Z,0,0,0,0,2,4,False
CHECK_IN,end,2021-05-31T21:09:00.000Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-05-31T21:09:00.000Z,0,0,0,0,2,2,False
TEMPORARY_CLOSING,start,2021-05-31T21:32:50.365Z,0,1,0,0,2,2,False
SCHEDULE,end,2021-05-31T21:59:00.000Z,0,1,0,0,1,2,False
SCHEDULE,end,2021-05-31T21:59:00.000Z,0,1,0,0,0,2,False
TEMPORARY_CLOSING,end,2021-05-31T21:59:00.000Z,0,0,0,0,0,2,False
CHECK_IN,end,2021-05-31T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-05-31T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-06-01T04:00:00.000Z,0,0,0,1,0,0,False
